pais_bloco,fk_pais,fk_calendario,populacao,id_energia
CHN,8,16,1066790000.0,638
COL,9,16,29960101.0,639
DEU,15,16,77720436.0,640
DNK,11,16,5120534.0,641
ESP,40,16,38584624.0,642
EST,12,16,1540190.0,643
FIN,13,16,4918154.0,644
FRA,14,16,56865193.0,645
GBR,45,16,56681396.0,646
GRC,16,16,9967213.0,647
HUN,17,16,10630564.0,648
IDN,20,16,169135273.0,649
IND,19,16,797878993.0,650
IRL,21,16,3539690.0,651
ISL,18,16,243180.0,652
ISR,22,16,4299000.0,653
ITA,23,16,56596155.0,654
JPN,24,16,121482000.0,655
LTU,27,16,3578914.0,656
LUX,28,16,368355.0,657
LVA,26,16,2599892.0,658
MAR,30,16,22824446.0,659
MEX,29,16,76224365.0,660
NLD,31,16,14572278.0,661
NOR,33,16,4167354.0,662
NZL,32,16,3246300.0,663
POL,34,16,37456119.0,664
PRT,35,16,10032734.0,665
SGP,36,16,2733373.0,666
SVK,37,16,5193838.0,667
SVN,38,16,1965964.0,668
SWE,41,16,8369829.0,669
THA,43,16,51542094.0,670
USA,46,16,240133000.0,671
ZAF,39,16,34877834.0,672
AUS,2,17,16263874.0,673
AUT,3,17,7574586.0,674
BEL,4,17,9870234.0,675
BRA,5,17,142466264.0,676
CAN,6,17,26446601.0,677
CHE,42,17,6545106.0,678
CHL,7,17,12712784.0,679
CHN,8,17,1084035000.0,680
COL,9,17,30603048.0,681
DEU,15,17,77839920.0,682
DNK,11,17,5127024.0,683
ESP,40,17,38684815.0,684
EST,12,17,1552221.0,685
FIN,13,17,4932123.0,686
FRA,14,17,57168409.0,687
GBR,45,17,56802050.0,688
GRC,16,17,10000595.0,689
HUN,17,17,10612741.0,690
IDN,20,17,172421390.0,691
IND,19,17,815716125.0,692
IRL,21,17,3540057.0,693
ISL,18,17,245859.0,694
ISR,22,17,4369000.0,695
ITA,23,17,56601931.0,696
JPN,24,17,122069000.0,697
LTU,27,17,3616367.0,698
LUX,28,17,370750.0,699
LVA,26,17,2626583.0,700
MAR,30,17,23279935.0,701
MEX,29,17,77553504.0,702
NLD,31,17,14665037.0,703
NOR,33,17,4186905.0,704
NZL,32,17,3274400.0,705
POL,34,17,37668045.0,706
PRT,35,17,10030031.0,707
SGP,36,17,2774789.0,708
SVK,37,17,5222840.0,709
SVN,38,17,1989776.0,710
SWE,41,17,8397804.0,711
THA,43,17,52479181.0,712
USA,46,17,242289000.0,713
ZAF,39,17,36119333.0,714
AUS,2,18,16532164.0,715
AUT,3,18,7585317.0,716
BEL,4,18,9901664.0,717
BRA,5,18,145253973.0,718
CAN,6,18,26791747.0,719
CHE,42,18,6593386.0,720
CHL,7,18,12918389.0,721
CHN,8,18,1101630000.0,722
COL,9,18,31256727.0,723
DEU,15,18,78144619.0,724
DNK,11,18,5129516.0,725
ESP,40,18,38766939.0,726
EST,12,18,1561900.0,727
FIN,13,18,4946481.0,728
FRA,14,18,57472651.0,729
GBR,45,18,56928327.0,730
GRC,16,18,10036983.0,731
HUN,17,18,10596487.0,732
IDN,20,18,175694647.0,733
IND,19,18,833729681.0,734
IRL,21,18,3524949.0,735
ISL,18,18,249740.0,736
ISR,22,18,4442000.0,737
ITA,23,18,56629288.0,738
JPN,24,18,122578000.0,739
LTU,27,18,3655049.0,740
LUX,28,18,373450.0,741
LVA,26,18,2653434.0,742
MAR,30,18,23720590.0,743
MEX,29,18,78892015.0,744
NLD,31,18,14760094.0,745
NOR,33,18,4209488.0,746
NZL,32,18,3283400.0,747
POL,34,18,37824487.0,748
PRT,35,18,10019610.0,749
SGP,36,18,2846108.0,750
SVK,37,18,5250596.0,751
SVN,38,18,1995196.0,752
SWE,41,18,8436489.0,753
THA,43,18,53410965.0,754
USA,46,18,244499000.0,755
ZAF,39,18,37393853.0,756
AUS,2,19,16814416.0,757
AUT,3,19,7619567.0,758
BEL,4,19,9937697.0,759
BRA,5,19,148003411.0,760
CAN,6,19,27276781.0,761
CHE,42,19,6646912.0,762
CHL,7,19,13128619.0,763
CHN,8,19,1118650000.0,764
COL,9,19,31923117.0,765
DEU,15,19,78751283.0,766
DNK,11,19,5132594.0,767
ESP,40,19,38827764.0,768
EST,12,19,1568131.0,769
FIN,13,19,4964371.0,770
FRA,14,19,57766282.0,771
GBR,45,19,57076711.0,772
GRC,16,19,10089498.0,773
HUN,17,19,10481719.0,774
IDN,20,19,178949174.0,775
IND,19,19,852012673.0,776
IRL,21,19,3511009.0,777
ISL,18,19,252852.0,778
ISR,22,19,4518000.0,779
ITA,23,19,56671781.0,780
JPN,24,19,123069000.0,781
LTU,27,19,3684255.0,782
LUX,28,19,377100.0,783
LVA,26,19,2666955.0,784
MAR,30,19,24148104.0,785
MEX,29,19,80233749.0,786
NLD,31,19,14848907.0,787
NOR,33,19,4226901.0,788
NZL,32,19,3299200.0,789
POL,34,19,37961529.0,790
PRT,35,19,10005000.0,791
SGP,36,19,2930901.0,792
SVK,37,19,5275942.0,793
SVN,38,19,1996351.0,794
SWE,41,19,8492964.0,795
THA,43,19,54324004.0,796
USA,46,19,246819000.0,797
ZAF,39,19,38668684.0,798
AUS,2,20,17065128.0,799
AUT,3,20,7677850.0,800
BEL,4,20,9967379.0,801
BRA,5,20,150706446.0,802
CAN,6,20,27691138.0,803
CHE,42,20,6715519.0,804
CHL,7,20,13342868.0,805
CHN,8,20,1135185000.0,806
COL,9,20,32601393.0,807
DEU,15,20,79433029.0,808
DNK,11,20,5140939.0,809
ESP,40,20,38867322.0,810
EST,12,20,1569174.0,811
FIN,13,20,4986431.0,812
FRA,14,20,58044701.0,813
GBR,45,20,57247586.0,814
GRC,16,20,10196792.0,815
HUN,17,20,10373988.0,816
IDN,20,20,182159874.0,817
IND,19,20,870452165.0,818
IRL,21,20,3513974.0,819
ISL,18,20,254826.0,820
ISR,22,20,4660000.0,821
ITA,23,20,56719240.0,822
JPN,24,20,123478000.0,823
LTU,27,20,3697838.0,824
LUX,28,20,381850.0,825
LVA,26,20,2663151.0,826
MAR,30,20,24570814.0,827
MEX,29,20,81720428.0,828
NLD,31,20,14951510.0,829
NOR,33,20,4241473.0,830
NZL,32,20,3329800.0,831
POL,34,20,38110782.0,832
PRT,35,20,9983218.0,833
SGP,36,20,3047132.0,834
